"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","FullTextURL","RelatedURL"
"125",14,"J Brosz, S Carpendale…","The undistort lens",2011,"Computer Graphics Forum","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-8659.2011.01937.x","https://scholar.google.com/scholar?cites=5892353727626777213&as_sdt=2005&sciodt=0,5&hl=en",50,"2023-02-22 14:54:27","","10.1111/j.1467-8659.2011.01937.x",NA,NA,NA,NA,NA,NA,14,1.17,5,3,12,"Detail‐in‐context lens techniques can be useful for exploring visualizations of data spaces that are too large or have too much detail to fit in regular displays. For example, by bending …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1467-8659.2011.01937.x","https://scholar.google.com/scholar?q=related:fZIkCn_YxVEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"126",0,"A Hedman","The value of simplicity: image browsing techniques and tests",2010,"","diva-portal.org","https://www.diva-portal.org/smash/record.jsf?pid=diva2:999187","",133,"2023-02-22 14:54:27","","",NA,NA,NA,NA,NA,NA,0,0,0,1,13,"Image browsing is involved in many different types of tasks, such as interacting with a desktop and file system, viewing digital photo albums, etc. Different techniques are available …","https://www.diva-portal.org/smash/get/diva2:999187/FULLTEXT01.pdf","https://scholar.google.com/scholar?q=related:2EjfvsKNyEcJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"127",0,"N Oostendorp, P Resnick","Three recommender approaches to interface controls reduction",2008,"Proceedings of the 2008 ACM conference on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/1454008.1454045","",137,"2023-02-22 14:54:27","","10.1145/1454008.1454045",NA,NA,NA,NA,NA,NA,0,0,0,2,15,"Interface Controls Reduction is the design task of generating simplified interface controls for setting a larger, more complex set of controls. We explore three different empirical …","https://dl.acm.org/doi/pdf/10.1145/1454008.1454045","https://scholar.google.com/scholar?q=related:9k52YqsrIckJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"128",14,"J Zhang, A Malik, B Ahlbrand, N Elmqvist…","Topogroups: Context-preserving visual illustration of multi-scale spatial aggregates",2017,"Proceedings of the …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3025453.3025801","https://scholar.google.com/scholar?cites=9164181812562345181&as_sdt=2005&sciodt=0,5&hl=en",36,"2023-02-22 14:54:27","","10.1145/3025453.3025801",NA,NA,NA,NA,NA,NA,14,2.33,3,5,6,"Spatial datasets, such as tweets in a geographic area, often exhibit different distribution patterns at multiple levels of scale, such as live updates about events occurring in very …","https://dl.acm.org/doi/pdf/10.1145/3025453.3025801","https://scholar.google.com/scholar?q=related:3bzf-s22LX8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"129",0,"W Wang, SK Badam, N Elmqvist","Topology-aware space distortion for structured visualization spaces",2022,"Information Visualization","journals.sagepub.com","https://journals.sagepub.com/doi/pdf/10.1177/14738716211053579","",51,"2023-02-22 14:54:27","PDF","10.1177/14738716211053579",NA,NA,NA,NA,NA,NA,0,0,0,3,1,"We propose topology-aware space distortion (TASD), a family of interactive layout techniques for non-linearly distorting geometric space based on user attention and on the …","https://journals.sagepub.com/doi/pdf/10.1177/14738716211053579","https://scholar.google.com/scholar?q=related:OqGHKFlO-QgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"130",104,"R Krüger, D Thom, M Wörner…","TrajectoryLenses–A Set‐based Filtering and Exploration Technique for Long‐term Trajectory Data",2013,"Computer Graphics …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/cgf.12132","https://scholar.google.com/scholar?cites=10177869706841283948&as_sdt=2005&sciodt=0,5&hl=en",9,"2023-02-22 14:54:27","","10.1111/cgf.12132",NA,NA,NA,NA,NA,NA,104,10.4,26,4,10,"The visual analysis of spatiotemporal movement is a challenging task. There may be millions of routes of different length and shape with different origin and destination …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/cgf.12132","https://scholar.google.com/scholar?q=related:bN173pIOP40J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"131",0,"D English","Two-Tail Non-Linear Moving Tape Displays",2012,"","search.proquest.com","https://search.proquest.com/openview/ca8ca0e62017ba3a24a5294681c6835f/1?pq-origsite=gscholar&cbl=18750","",127,"2023-02-22 14:54:27","BOOK","",NA,NA,NA,NA,NA,NA,0,0,0,1,11,"Fixed-pointer moving-scale tape displays are a compact way to present wide range dynamic data, and are commonly employed in aircraft and spacecraft to display the primary …","https://keep.lib.asu.edu/_flysystem/fedora/c7/61163/tmp/package-2QGKqm/English_asu_0010N_11979.pdf","https://scholar.google.com/scholar?q=related:-3W0j8JEj9AJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"132",0,"WC Rojas, CM Villegas","Una Revisión Comparativa de Esquemas de Visualización Multidimensional para Técnicas de Minería de Datos",NA,"","","","",157,"2023-02-22 14:54:27","CITATION","",NA,NA,NA,NA,NA,NA,0,0,0,2,NA,"","","https://scholar.google.com/scholar?q=related:yMlh8t_GIIgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"133",1,"JM Rzeszotarski","Uncovering Nuances in Complex Data through Focus and Context Visualizations",2017,"","reports-archive.adm.cs.cmu.edu","http://reports-archive.adm.cs.cmu.edu/anon/hcii/CMU-HCII-17-101.pdf","https://scholar.google.com/scholar?cites=5472172881265799304&as_sdt=2005&sciodt=0,5&hl=en",93,"2023-02-22 14:54:27","PDF","",NA,NA,NA,NA,NA,NA,1,0.17,1,1,6,"Across a wide variety of digital devices, users create, consume, and disseminate large quantities of information. While data sometimes look like a spreadsheet or network diagram …","http://reports-archive.adm.cs.cmu.edu/anon/hcii/CMU-HCII-17-101.pdf","https://scholar.google.com/scholar?q=related:iLBfIT4Q8UsJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"134",1,"J Gow, G Buchanan, A Blandford, C Warwick, J Rimmer","Usercentred requirements for document structure in the humanities",2009,"","cs.ucl.ac.uk","http://www0.cs.ucl.ac.uk/staff/ucacjig/papers/ucdoc.pdf","https://scholar.google.com/scholar?cites=7426134135411703649&as_sdt=2005&sciodt=0,5&hl=en",108,"2023-02-22 14:54:27","PDF","",NA,NA,NA,NA,NA,NA,1,0.07,0,5,14,"Electronic document standards such as TEI and METS provide the means to digitally encode sophisticated hierarchical document structures. This naturally leads to digital libraries using …","http://www0.cs.ucl.ac.uk/staff/ucacjig/papers/ucdoc.pdf","https://scholar.google.com/scholar?q=related:Yf-dm6btDmcJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"135",40,"T May, M Steiger, J Davey…","Using signposts for navigation in large graphs",2012,"Computer Graphics …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-8659.2012.03091.x","https://scholar.google.com/scholar?cites=4398228007860475213&as_sdt=2005&sciodt=0,5&hl=en",27,"2023-02-22 14:54:27","","10.1111/j.1467-8659.2012.03091.x",NA,NA,NA,NA,NA,NA,40,3.64,10,4,11,"In this paper we present a new Focus &Context technique for the exploration of large, abstract graphs. Most Focus &Context techniques present context in a visual way. In …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1467-8659.2012.03091.x","https://scholar.google.com/scholar?q=related:TZWyARKlCT0J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"136",0,"RC Rozo, E Lavoué, Y Prié","Vers l'analyse de l'engagement de l'apprenant: une approche par la visualisation multi-échelle de traces hétérogenes",NA,"perso.liris.cnrs.fr","","https://perso.liris.cnrs.fr/elise.lavoue/EIAHIA-Carillo%20Rozo.pdf","",153,"2023-02-22 14:54:27","PDF","",NA,NA,NA,NA,NA,NA,0,0,0,3,NA,"Résumé De nombreux travaux de recherche dans le domaine des Learning Analytics proposent des indicateurs statistiques tels que la durée ou le nombre d'actions réalisées sur …","https://perso.liris.cnrs.fr/elise.lavoue/EIAHIA-Carillo%20Rozo.pdf","https://scholar.google.com/scholar?q=related:K7Q_yb09xr0J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"137",1,"R Carrillo, E Lavoué, Y Prié","Vers l'analyse de l'engagement de l'apprenant: une approche par la visualisation multi-échelle de traces hétérogènes",2015,"Deuxième journée EIAH &IA","hal.science","https://hal.science/hal-01231811/","https://scholar.google.com/scholar?cites=37178503188239175&as_sdt=2005&sciodt=0,5&hl=en",121,"2023-02-22 14:54:27","","",NA,NA,NA,NA,NA,NA,1,0.13,0,3,8,"De nombreux travaux de recherche dans le domaine des Learning Analytics proposent des indicateurs statistiques tels que la durée ou le nombre d'actions réalisées sur les outils ou …","https://hal.science/hal-01231811/file/article_EIAH2015_Rennes.pdf","https://scholar.google.com/scholar?q=related:R9PQ06YVhAAJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"138",0,"AS Dadzie","Visual analysis of anatomy ontologies and related genomic information",2006,"","core.ac.uk","https://core.ac.uk/download/pdf/29822527.pdf","",146,"2023-02-22 14:54:27","PDF","",NA,NA,NA,NA,NA,NA,0,0,0,1,17,"Challenges in scientific research include the difficulty in obtaining overviews of the large amount of data required for analysis, and in resolving the differences in terminology used to …","https://core.ac.uk/download/pdf/29822527.pdf","https://scholar.google.com/scholar?q=related:tzJLlgep7JUJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"139",1,"M Krstajic","Visual analytics of temporal event sequences in news streams",2014,"","kops.uni-konstanz.de","http://kops.uni-konstanz.de/handle/123456789/29355","https://scholar.google.com/scholar?cites=5619715748134187375&as_sdt=2005&sciodt=0,5&hl=en",96,"2023-02-22 14:54:27","","",NA,NA,NA,NA,NA,NA,1,0.11,1,1,9,"Finding new ways of extracting and analyzing useful information from exploding volumes of unstructured and semi-structured text sources has become one of the greatest challenges in …","http://kops.uni-konstanz.de/bitstream/handle/123456789/29355/Krstajic_0-263456.pdf%3Bjsessionid%3DB3FAB3C7E754C69853E0784B114FD181?sequence%3D3","https://scholar.google.com/scholar?q=related:b_E0yrI9_U0J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"140",97,"L Ren, Y Du, S Ma, XL Zhang…","Visual analytics towards big data",2014,"Ruan Jian Xue Bao …","pennstate.pure.elsevier.com","https://pennstate.pure.elsevier.com/en/publications/visual-analytics-towards-big-data","https://scholar.google.com/scholar?cites=15379835291420745216&as_sdt=2005&sciodt=0,5&hl=en",8,"2023-02-22 14:54:27","","",NA,NA,NA,NA,NA,NA,97,10.78,19,5,9,"Visual analytics is an important method used in big data analysis. The aim of big data visual analytics is to take advantage of human's cognitive abilities in visualizing information while …","","https://scholar.google.com/scholar?q=related:AF4mMbYmcNUJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
